product_name,old_price,new_price,installment_price,timestamp
Apple iPhone 16 Pro (128 GB) - Titânio-preto - Distribuidor Autorizado,10499,8909,9899,2024-11-24 17:02:05
Apple iPhone 16 Pro (128 GB) - Titânio-preto - Distribuidor Autorizado,10499,8909,9899,2024-11-24 17:02:17
Apple iPhone 16 Pro (128 GB) - Titânio-preto - Distribuidor Autorizado,10499,8909,9899,2024-11-24 17:02:28
